,tweet_text,adj,question,answer_a,answer_b,Prediction_A,Prediction_B,Dif_Scores_A.B
28,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,patronizing,How can this statement be described?,patronizing,not patronizing,,,
29,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
30,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,sullen,How can this statement be described?,sullen,not sullen,,,
31,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,stubborn,How can this statement be described?,stubborn,not stubborn,,,
32,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,egotistical,How can this statement be described?,egotistical,not egotistical,,,
33,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,rude,How can this statement be described?,rude,not rude,,,
34,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,mean,How can this statement be described?,mean,not mean,,,
35,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,secretive,How can this statement be described?,secretive,not secretive,,,
36,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,bossy,How can this statement be described?,bossy,not bossy,,,
37,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
38,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
39,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,lazy,How can this statement be described?,lazy,not lazy,,,
40,@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,selfish,How can this statement be described?,selfish,not selfish,,,
41,"Sock Con, the conference for socks",creative,How can this statement be described?,creative,not creative,,,
42,"Sock Con, the conference for socks",adventurous,How can this statement be described?,adventurous,not adventurous,,,
43,"Sock Con, the conference for socks",generous,How can this statement be described?,generous,not generous,,,
44,"Sock Con, the conference for socks",decisive,How can this statement be described?,decisive,not decisive,,,
45,"Sock Con, the conference for socks",diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
46,"Sock Con, the conference for socks",affectionate,How can this statement be described?,affectionate,not affectionate,,,
47,"Sock Con, the conference for socks",hardworking,How can this statement be described?,hardworking,not hardworking,,,
48,"Sock Con, the conference for socks",observant,How can this statement be described?,observant,not observant,,,
49,"Sock Con, the conference for socks",helpful,How can this statement be described?,helpful,not helpful,,,
50,"Sock Con, the conference for socks",optimistic,How can this statement be described?,optimistic,not optimistic,,,
51,"Sock Con, the conference for socks",honest,How can this statement be described?,honest,not honest,,,
52,"Sock Con, the conference for socks",funny,How can this statement be described?,funny,not funny,,,
53,"Sock Con, the conference for socks",amusing,How can this statement be described?,amusing,not amusing,,,
54,"Sock Con, the conference for socks",calm,How can this statement be described?,calm,not calm,,,
55,"Sock Con, the conference for socks",polite,How can this statement be described?,polite,not polite,,,
56,"Sock Con, the conference for socks",charismatic,How can this statement be described?,charismatic,not charismatic,,,
57,"Sock Con, the conference for socks",romantic,How can this statement be described?,romantic,not romantic,,,
58,"Sock Con, the conference for socks",friendly,How can this statement be described?,friendly,not friendly,,,
59,"Sock Con, the conference for socks",clever,How can this statement be described?,clever,not clever,,,
60,"Sock Con, the conference for socks",compassionate,How can this statement be described?,compassionate,not compassionate,,,
61,"Sock Con, the conference for socks",aggressive,How can this statement be described?,aggressive,not aggressive,,,
62,"Sock Con, the conference for socks",cynical,How can this statement be described?,cynical,not cynical,,,
63,"Sock Con, the conference for socks",grumpy,How can this statement be described?,grumpy,not grumpy,,,
64,"Sock Con, the conference for socks",nervous,How can this statement be described?,nervous,not nervous,,,
65,"Sock Con, the conference for socks",defensive,How can this statement be described?,defensive,not defensive,,,
66,"Sock Con, the conference for socks",arrogant,How can this statement be described?,arrogant,not arrogant,,,
67,"Sock Con, the conference for socks",impulsive,How can this statement be described?,impulsive,not impulsive,,,
68,"Sock Con, the conference for socks",patronizing,How can this statement be described?,patronizing,not patronizing,,,
69,"Sock Con, the conference for socks",pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
70,"Sock Con, the conference for socks",sullen,How can this statement be described?,sullen,not sullen,,,
71,"Sock Con, the conference for socks",stubborn,How can this statement be described?,stubborn,not stubborn,,,
72,"Sock Con, the conference for socks",egotistical,How can this statement be described?,egotistical,not egotistical,,,
73,"Sock Con, the conference for socks",rude,How can this statement be described?,rude,not rude,,,
74,"Sock Con, the conference for socks",mean,How can this statement be described?,mean,not mean,,,
75,"Sock Con, the conference for socks",secretive,How can this statement be described?,secretive,not secretive,,,
76,"Sock Con, the conference for socks",bossy,How can this statement be described?,bossy,not bossy,,,
77,"Sock Con, the conference for socks",sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
78,"Sock Con, the conference for socks",irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
79,"Sock Con, the conference for socks",lazy,How can this statement be described?,lazy,not lazy,,,
80,"Sock Con, the conference for socks",selfish,How can this statement be described?,selfish,not selfish,,,
81,Always something new for the magazine cover and the articles practically write themselves,creative,How can this statement be described?,creative,not creative,,,
82,Always something new for the magazine cover and the articles practically write themselves,adventurous,How can this statement be described?,adventurous,not adventurous,,,
83,Always something new for the magazine cover and the articles practically write themselves,generous,How can this statement be described?,generous,not generous,,,
84,Always something new for the magazine cover and the articles practically write themselves,decisive,How can this statement be described?,decisive,not decisive,,,
85,Always something new for the magazine cover and the articles practically write themselves,diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
86,Always something new for the magazine cover and the articles practically write themselves,affectionate,How can this statement be described?,affectionate,not affectionate,,,
87,Always something new for the magazine cover and the articles practically write themselves,hardworking,How can this statement be described?,hardworking,not hardworking,,,
88,Always something new for the magazine cover and the articles practically write themselves,observant,How can this statement be described?,observant,not observant,,,
89,Always something new for the magazine cover and the articles practically write themselves,helpful,How can this statement be described?,helpful,not helpful,,,
90,Always something new for the magazine cover and the articles practically write themselves,optimistic,How can this statement be described?,optimistic,not optimistic,,,
91,Always something new for the magazine cover and the articles practically write themselves,honest,How can this statement be described?,honest,not honest,,,
92,Always something new for the magazine cover and the articles practically write themselves,funny,How can this statement be described?,funny,not funny,,,
93,Always something new for the magazine cover and the articles practically write themselves,amusing,How can this statement be described?,amusing,not amusing,,,
94,Always something new for the magazine cover and the articles practically write themselves,calm,How can this statement be described?,calm,not calm,,,
95,Always something new for the magazine cover and the articles practically write themselves,polite,How can this statement be described?,polite,not polite,,,
96,Always something new for the magazine cover and the articles practically write themselves,charismatic,How can this statement be described?,charismatic,not charismatic,,,
97,Always something new for the magazine cover and the articles practically write themselves,romantic,How can this statement be described?,romantic,not romantic,,,
98,Always something new for the magazine cover and the articles practically write themselves,friendly,How can this statement be described?,friendly,not friendly,,,
99,Always something new for the magazine cover and the articles practically write themselves,clever,How can this statement be described?,clever,not clever,,,
100,Always something new for the magazine cover and the articles practically write themselves,compassionate,How can this statement be described?,compassionate,not compassionate,,,
101,Always something new for the magazine cover and the articles practically write themselves,aggressive,How can this statement be described?,aggressive,not aggressive,,,
102,Always something new for the magazine cover and the articles practically write themselves,cynical,How can this statement be described?,cynical,not cynical,,,
103,Always something new for the magazine cover and the articles practically write themselves,grumpy,How can this statement be described?,grumpy,not grumpy,,,
104,Always something new for the magazine cover and the articles practically write themselves,nervous,How can this statement be described?,nervous,not nervous,,,
105,Always something new for the magazine cover and the articles practically write themselves,defensive,How can this statement be described?,defensive,not defensive,,,
106,Always something new for the magazine cover and the articles practically write themselves,arrogant,How can this statement be described?,arrogant,not arrogant,,,
107,Always something new for the magazine cover and the articles practically write themselves,impulsive,How can this statement be described?,impulsive,not impulsive,,,
108,Always something new for the magazine cover and the articles practically write themselves,patronizing,How can this statement be described?,patronizing,not patronizing,,,
109,Always something new for the magazine cover and the articles practically write themselves,pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
110,Always something new for the magazine cover and the articles practically write themselves,sullen,How can this statement be described?,sullen,not sullen,,,
111,Always something new for the magazine cover and the articles practically write themselves,stubborn,How can this statement be described?,stubborn,not stubborn,,,
112,Always something new for the magazine cover and the articles practically write themselves,egotistical,How can this statement be described?,egotistical,not egotistical,,,
113,Always something new for the magazine cover and the articles practically write themselves,rude,How can this statement be described?,rude,not rude,,,
114,Always something new for the magazine cover and the articles practically write themselves,mean,How can this statement be described?,mean,not mean,,,
115,Always something new for the magazine cover and the articles practically write themselves,secretive,How can this statement be described?,secretive,not secretive,,,
116,Always something new for the magazine cover and the articles practically write themselves,bossy,How can this statement be described?,bossy,not bossy,,,
117,Always something new for the magazine cover and the articles practically write themselves,sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
118,Always something new for the magazine cover and the articles practically write themselves,irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
119,Always something new for the magazine cover and the articles practically write themselves,lazy,How can this statement be described?,lazy,not lazy,,,
120,Always something new for the magazine cover and the articles practically write themselves,selfish,How can this statement be described?,selfish,not selfish,,,
121,@user This guy gets it,creative,How can this statement be described?,creative,not creative,,,
122,@user This guy gets it,adventurous,How can this statement be described?,adventurous,not adventurous,,,
123,@user This guy gets it,generous,How can this statement be described?,generous,not generous,,,
124,@user This guy gets it,decisive,How can this statement be described?,decisive,not decisive,,,
125,@user This guy gets it,diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
126,@user This guy gets it,affectionate,How can this statement be described?,affectionate,not affectionate,,,
127,@user This guy gets it,hardworking,How can this statement be described?,hardworking,not hardworking,,,
128,@user This guy gets it,observant,How can this statement be described?,observant,not observant,,,
129,@user This guy gets it,helpful,How can this statement be described?,helpful,not helpful,,,
130,@user This guy gets it,optimistic,How can this statement be described?,optimistic,not optimistic,,,
131,@user This guy gets it,honest,How can this statement be described?,honest,not honest,,,
132,@user This guy gets it,funny,How can this statement be described?,funny,not funny,,,
133,@user This guy gets it,amusing,How can this statement be described?,amusing,not amusing,,,
134,@user This guy gets it,calm,How can this statement be described?,calm,not calm,,,
135,@user This guy gets it,polite,How can this statement be described?,polite,not polite,,,
136,@user This guy gets it,charismatic,How can this statement be described?,charismatic,not charismatic,,,
137,@user This guy gets it,romantic,How can this statement be described?,romantic,not romantic,,,
138,@user This guy gets it,friendly,How can this statement be described?,friendly,not friendly,,,
139,@user This guy gets it,clever,How can this statement be described?,clever,not clever,,,
140,@user This guy gets it,compassionate,How can this statement be described?,compassionate,not compassionate,,,
141,@user This guy gets it,aggressive,How can this statement be described?,aggressive,not aggressive,,,
142,@user This guy gets it,cynical,How can this statement be described?,cynical,not cynical,,,
143,@user This guy gets it,grumpy,How can this statement be described?,grumpy,not grumpy,,,
144,@user This guy gets it,nervous,How can this statement be described?,nervous,not nervous,,,
145,@user This guy gets it,defensive,How can this statement be described?,defensive,not defensive,,,
146,@user This guy gets it,arrogant,How can this statement be described?,arrogant,not arrogant,,,
147,@user This guy gets it,impulsive,How can this statement be described?,impulsive,not impulsive,,,
148,@user This guy gets it,patronizing,How can this statement be described?,patronizing,not patronizing,,,
149,@user This guy gets it,pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
150,@user This guy gets it,sullen,How can this statement be described?,sullen,not sullen,,,
151,@user This guy gets it,stubborn,How can this statement be described?,stubborn,not stubborn,,,
152,@user This guy gets it,egotistical,How can this statement be described?,egotistical,not egotistical,,,
153,@user This guy gets it,rude,How can this statement be described?,rude,not rude,,,
154,@user This guy gets it,mean,How can this statement be described?,mean,not mean,,,
155,@user This guy gets it,secretive,How can this statement be described?,secretive,not secretive,,,
156,@user This guy gets it,bossy,How can this statement be described?,bossy,not bossy,,,
157,@user This guy gets it,sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
158,@user This guy gets it,irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
159,@user This guy gets it,lazy,How can this statement be described?,lazy,not lazy,,,
160,@user This guy gets it,selfish,How can this statement be described?,selfish,not selfish,,,
161,Sock tech is so advanced that you can get pretty much anything in sock form these days!,creative,How can this statement be described?,creative,not creative,,,
162,Sock tech is so advanced that you can get pretty much anything in sock form these days!,adventurous,How can this statement be described?,adventurous,not adventurous,,,
163,Sock tech is so advanced that you can get pretty much anything in sock form these days!,generous,How can this statement be described?,generous,not generous,,,
164,Sock tech is so advanced that you can get pretty much anything in sock form these days!,decisive,How can this statement be described?,decisive,not decisive,,,
165,Sock tech is so advanced that you can get pretty much anything in sock form these days!,diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
166,Sock tech is so advanced that you can get pretty much anything in sock form these days!,affectionate,How can this statement be described?,affectionate,not affectionate,,,
167,Sock tech is so advanced that you can get pretty much anything in sock form these days!,hardworking,How can this statement be described?,hardworking,not hardworking,,,
168,Sock tech is so advanced that you can get pretty much anything in sock form these days!,observant,How can this statement be described?,observant,not observant,,,
169,Sock tech is so advanced that you can get pretty much anything in sock form these days!,helpful,How can this statement be described?,helpful,not helpful,,,
170,Sock tech is so advanced that you can get pretty much anything in sock form these days!,optimistic,How can this statement be described?,optimistic,not optimistic,,,
171,Sock tech is so advanced that you can get pretty much anything in sock form these days!,honest,How can this statement be described?,honest,not honest,,,
172,Sock tech is so advanced that you can get pretty much anything in sock form these days!,funny,How can this statement be described?,funny,not funny,,,
173,Sock tech is so advanced that you can get pretty much anything in sock form these days!,amusing,How can this statement be described?,amusing,not amusing,,,
174,Sock tech is so advanced that you can get pretty much anything in sock form these days!,calm,How can this statement be described?,calm,not calm,,,
175,Sock tech is so advanced that you can get pretty much anything in sock form these days!,polite,How can this statement be described?,polite,not polite,,,
176,Sock tech is so advanced that you can get pretty much anything in sock form these days!,charismatic,How can this statement be described?,charismatic,not charismatic,0.0573699064552784,0.9426300525665283,-0.8852601647377014
177,Sock tech is so advanced that you can get pretty much anything in sock form these days!,romantic,How can this statement be described?,romantic,not romantic,0.0007398785674013197,0.9992601275444031,-0.9985202550888062
178,Sock tech is so advanced that you can get pretty much anything in sock form these days!,friendly,How can this statement be described?,friendly,not friendly,0.014132541604340076,0.985867440700531,-0.971734881401062
179,Sock tech is so advanced that you can get pretty much anything in sock form these days!,clever,How can this statement be described?,clever,not clever,0.9966298937797546,0.003370055463165045,0.993259847164154
180,Sock tech is so advanced that you can get pretty much anything in sock form these days!,compassionate,How can this statement be described?,compassionate,not compassionate,0.019792983308434486,0.9802070260047913,-0.9604140520095825
181,Sock tech is so advanced that you can get pretty much anything in sock form these days!,aggressive,How can this statement be described?,aggressive,not aggressive,0.011961977928876877,0.9880380630493164,-0.976076066493988
182,Sock tech is so advanced that you can get pretty much anything in sock form these days!,cynical,How can this statement be described?,cynical,not cynical,,,
183,Sock tech is so advanced that you can get pretty much anything in sock form these days!,grumpy,How can this statement be described?,grumpy,not grumpy,,,
184,Sock tech is so advanced that you can get pretty much anything in sock form these days!,nervous,How can this statement be described?,nervous,not nervous,,,
185,Sock tech is so advanced that you can get pretty much anything in sock form these days!,defensive,How can this statement be described?,defensive,not defensive,,,
186,Sock tech is so advanced that you can get pretty much anything in sock form these days!,arrogant,How can this statement be described?,arrogant,not arrogant,,,
187,Sock tech is so advanced that you can get pretty much anything in sock form these days!,impulsive,How can this statement be described?,impulsive,not impulsive,,,
188,Sock tech is so advanced that you can get pretty much anything in sock form these days!,patronizing,How can this statement be described?,patronizing,not patronizing,,,
189,Sock tech is so advanced that you can get pretty much anything in sock form these days!,pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
190,Sock tech is so advanced that you can get pretty much anything in sock form these days!,sullen,How can this statement be described?,sullen,not sullen,,,
191,Sock tech is so advanced that you can get pretty much anything in sock form these days!,stubborn,How can this statement be described?,stubborn,not stubborn,,,
192,Sock tech is so advanced that you can get pretty much anything in sock form these days!,egotistical,How can this statement be described?,egotistical,not egotistical,,,
193,Sock tech is so advanced that you can get pretty much anything in sock form these days!,rude,How can this statement be described?,rude,not rude,,,
194,Sock tech is so advanced that you can get pretty much anything in sock form these days!,mean,How can this statement be described?,mean,not mean,,,
195,Sock tech is so advanced that you can get pretty much anything in sock form these days!,secretive,How can this statement be described?,secretive,not secretive,,,
196,Sock tech is so advanced that you can get pretty much anything in sock form these days!,bossy,How can this statement be described?,bossy,not bossy,,,
197,Sock tech is so advanced that you can get pretty much anything in sock form these days!,sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
198,Sock tech is so advanced that you can get pretty much anything in sock form these days!,irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
199,Sock tech is so advanced that you can get pretty much anything in sock form these days!,lazy,How can this statement be described?,lazy,not lazy,,,
200,Sock tech is so advanced that you can get pretty much anything in sock form these days!,selfish,How can this statement be described?,selfish,not selfish,,,
201,I must confess to a penchant for creative socks,creative,How can this statement be described?,creative,not creative,,,
202,I must confess to a penchant for creative socks,adventurous,How can this statement be described?,adventurous,not adventurous,,,
203,I must confess to a penchant for creative socks,generous,How can this statement be described?,generous,not generous,,,
204,I must confess to a penchant for creative socks,decisive,How can this statement be described?,decisive,not decisive,,,
205,I must confess to a penchant for creative socks,diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
206,I must confess to a penchant for creative socks,affectionate,How can this statement be described?,affectionate,not affectionate,,,
207,I must confess to a penchant for creative socks,hardworking,How can this statement be described?,hardworking,not hardworking,,,
208,I must confess to a penchant for creative socks,observant,How can this statement be described?,observant,not observant,,,
209,I must confess to a penchant for creative socks,helpful,How can this statement be described?,helpful,not helpful,,,
210,I must confess to a penchant for creative socks,optimistic,How can this statement be described?,optimistic,not optimistic,,,
211,I must confess to a penchant for creative socks,honest,How can this statement be described?,honest,not honest,,,
212,I must confess to a penchant for creative socks,funny,How can this statement be described?,funny,not funny,,,
213,I must confess to a penchant for creative socks,amusing,How can this statement be described?,amusing,not amusing,,,
214,I must confess to a penchant for creative socks,calm,How can this statement be described?,calm,not calm,,,
215,I must confess to a penchant for creative socks,polite,How can this statement be described?,polite,not polite,,,
216,I must confess to a penchant for creative socks,charismatic,How can this statement be described?,charismatic,not charismatic,,,
217,I must confess to a penchant for creative socks,romantic,How can this statement be described?,romantic,not romantic,,,
218,I must confess to a penchant for creative socks,friendly,How can this statement be described?,friendly,not friendly,,,
219,I must confess to a penchant for creative socks,clever,How can this statement be described?,clever,not clever,,,
220,I must confess to a penchant for creative socks,compassionate,How can this statement be described?,compassionate,not compassionate,,,
221,I must confess to a penchant for creative socks,aggressive,How can this statement be described?,aggressive,not aggressive,,,
222,I must confess to a penchant for creative socks,cynical,How can this statement be described?,cynical,not cynical,,,
223,I must confess to a penchant for creative socks,grumpy,How can this statement be described?,grumpy,not grumpy,,,
224,I must confess to a penchant for creative socks,nervous,How can this statement be described?,nervous,not nervous,,,
225,I must confess to a penchant for creative socks,defensive,How can this statement be described?,defensive,not defensive,,,
226,I must confess to a penchant for creative socks,arrogant,How can this statement be described?,arrogant,not arrogant,,,
227,I must confess to a penchant for creative socks,impulsive,How can this statement be described?,impulsive,not impulsive,,,
228,I must confess to a penchant for creative socks,patronizing,How can this statement be described?,patronizing,not patronizing,,,
229,I must confess to a penchant for creative socks,pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
230,I must confess to a penchant for creative socks,sullen,How can this statement be described?,sullen,not sullen,,,
231,I must confess to a penchant for creative socks,stubborn,How can this statement be described?,stubborn,not stubborn,,,
232,I must confess to a penchant for creative socks,egotistical,How can this statement be described?,egotistical,not egotistical,,,
233,I must confess to a penchant for creative socks,rude,How can this statement be described?,rude,not rude,,,
234,I must confess to a penchant for creative socks,mean,How can this statement be described?,mean,not mean,,,
235,I must confess to a penchant for creative socks,secretive,How can this statement be described?,secretive,not secretive,,,
236,I must confess to a penchant for creative socks,bossy,How can this statement be described?,bossy,not bossy,,,
237,I must confess to a penchant for creative socks,sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
238,I must confess to a penchant for creative socks,irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
239,I must confess to a penchant for creative socks,lazy,How can this statement be described?,lazy,not lazy,,,
240,I must confess to a penchant for creative socks,selfish,How can this statement be described?,selfish,not selfish,,,
241,@user It’s time,creative,How can this statement be described?,creative,not creative,,,
242,@user It’s time,adventurous,How can this statement be described?,adventurous,not adventurous,,,
243,@user It’s time,generous,How can this statement be described?,generous,not generous,,,
244,@user It’s time,decisive,How can this statement be described?,decisive,not decisive,,,
245,@user It’s time,diplomatic,How can this statement be described?,diplomatic,not diplomatic,,,
246,@user It’s time,affectionate,How can this statement be described?,affectionate,not affectionate,,,
247,@user It’s time,hardworking,How can this statement be described?,hardworking,not hardworking,,,
248,@user It’s time,observant,How can this statement be described?,observant,not observant,,,
249,@user It’s time,helpful,How can this statement be described?,helpful,not helpful,,,
250,@user It’s time,optimistic,How can this statement be described?,optimistic,not optimistic,,,
251,@user It’s time,honest,How can this statement be described?,honest,not honest,,,
252,@user It’s time,funny,How can this statement be described?,funny,not funny,,,
253,@user It’s time,amusing,How can this statement be described?,amusing,not amusing,,,
254,@user It’s time,calm,How can this statement be described?,calm,not calm,,,
255,@user It’s time,polite,How can this statement be described?,polite,not polite,,,
256,@user It’s time,charismatic,How can this statement be described?,charismatic,not charismatic,,,
257,@user It’s time,romantic,How can this statement be described?,romantic,not romantic,,,
258,@user It’s time,friendly,How can this statement be described?,friendly,not friendly,,,
259,@user It’s time,clever,How can this statement be described?,clever,not clever,,,
260,@user It’s time,compassionate,How can this statement be described?,compassionate,not compassionate,,,
261,@user It’s time,aggressive,How can this statement be described?,aggressive,not aggressive,,,
262,@user It’s time,cynical,How can this statement be described?,cynical,not cynical,,,
263,@user It’s time,grumpy,How can this statement be described?,grumpy,not grumpy,,,
264,@user It’s time,nervous,How can this statement be described?,nervous,not nervous,,,
265,@user It’s time,defensive,How can this statement be described?,defensive,not defensive,,,
266,@user It’s time,arrogant,How can this statement be described?,arrogant,not arrogant,,,
267,@user It’s time,impulsive,How can this statement be described?,impulsive,not impulsive,,,
268,@user It’s time,patronizing,How can this statement be described?,patronizing,not patronizing,,,
269,@user It’s time,pessimistic,How can this statement be described?,pessimistic,not pessimistic,,,
270,@user It’s time,sullen,How can this statement be described?,sullen,not sullen,,,
271,@user It’s time,stubborn,How can this statement be described?,stubborn,not stubborn,,,
272,@user It’s time,egotistical,How can this statement be described?,egotistical,not egotistical,,,
273,@user It’s time,rude,How can this statement be described?,rude,not rude,,,
274,@user It’s time,mean,How can this statement be described?,mean,not mean,,,
275,@user It’s time,secretive,How can this statement be described?,secretive,not secretive,,,
276,@user It’s time,bossy,How can this statement be described?,bossy,not bossy,,,
277,@user It’s time,sarcastic,How can this statement be described?,sarcastic,not sarcastic,,,
278,@user It’s time,irresponsible,How can this statement be described?,irresponsible,not irresponsible,,,
279,@user It’s time,lazy,How can this statement be described?,lazy,not lazy,,,
280,@user It’s time,selfish,How can this statement be described?,selfish,not selfish,,,
281,"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",creative,How can this statement be described?,creative,not creative,,,
