tweet_text,adj,question,answer_a,answer_b
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,charismatic,Would this statment be described as charismatic?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,romantic,Would this statment be described as romantic?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,friendly,Would this statment be described as friendly?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,clever,Would this statment be described as clever?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,compassionate,Would this statment be described as compassionate?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,aggressive,Would this statment be described as aggressive?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,cynical,Would this statment be described as cynical?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,grumpy,Would this statment be described as grumpy?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,nervous,Would this statment be described as nervous?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,defensive,Would this statment be described as defensive?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,arrogant,Would this statment be described as arrogant?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,impulsive,Would this statment be described as impulsive?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,patronizing,Would this statment be described as patronizing?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,pessimistic,Would this statment be described as pessimistic?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,sullen,Would this statment be described as sullen?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,stubborn,Would this statment be described as stubborn?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,egotistical,Would this statment be described as egotistical?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,rude,Would this statment be described as rude?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,mean,Would this statment be described as mean?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,secretive,Would this statment be described as secretive?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,bossy,Would this statment be described as bossy?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,boastful,Would this statment be described as boastful?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,irresponsible,Would this statment be described as irresponsible?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,lazy,Would this statment be described as lazy?,Yes.,No.
@user I find the gold toe sock – inevitably off kilter &amp; washed out – a little troubling esthetically &amp; arguably a bit corpo,selfish,Would this statment be described as selfish?,Yes.,No.
"Sock Con, the conference for socks",creative,Would this statment be described as creative?,Yes.,No.
"Sock Con, the conference for socks",adventurous,Would this statment be described as adventurous?,Yes.,No.
"Sock Con, the conference for socks",generous,Would this statment be described as generous?,Yes.,No.
"Sock Con, the conference for socks",decisive,Would this statment be described as decisive?,Yes.,No.
"Sock Con, the conference for socks",diplomatic,Would this statment be described as diplomatic?,Yes.,No.
"Sock Con, the conference for socks",affectionate,Would this statment be described as affectionate?,Yes.,No.
"Sock Con, the conference for socks",hardworking,Would this statment be described as hardworking?,Yes.,No.
"Sock Con, the conference for socks",observant,Would this statment be described as observant?,Yes.,No.
"Sock Con, the conference for socks",helpful,Would this statment be described as helpful?,Yes.,No.
"Sock Con, the conference for socks",optimistic,Would this statment be described as optimistic?,Yes.,No.
"Sock Con, the conference for socks",honest,Would this statment be described as honest?,Yes.,No.
"Sock Con, the conference for socks",funny,Would this statment be described as funny?,Yes.,No.
"Sock Con, the conference for socks",amusing,Would this statment be described as amusing?,Yes.,No.
"Sock Con, the conference for socks",calm,Would this statment be described as calm?,Yes.,No.
"Sock Con, the conference for socks",polite,Would this statment be described as polite?,Yes.,No.
"Sock Con, the conference for socks",charismatic,Would this statment be described as charismatic?,Yes.,No.
"Sock Con, the conference for socks",romantic,Would this statment be described as romantic?,Yes.,No.
"Sock Con, the conference for socks",friendly,Would this statment be described as friendly?,Yes.,No.
"Sock Con, the conference for socks",clever,Would this statment be described as clever?,Yes.,No.
"Sock Con, the conference for socks",compassionate,Would this statment be described as compassionate?,Yes.,No.
"Sock Con, the conference for socks",aggressive,Would this statment be described as aggressive?,Yes.,No.
"Sock Con, the conference for socks",cynical,Would this statment be described as cynical?,Yes.,No.
"Sock Con, the conference for socks",grumpy,Would this statment be described as grumpy?,Yes.,No.
"Sock Con, the conference for socks",nervous,Would this statment be described as nervous?,Yes.,No.
"Sock Con, the conference for socks",defensive,Would this statment be described as defensive?,Yes.,No.
"Sock Con, the conference for socks",arrogant,Would this statment be described as arrogant?,Yes.,No.
"Sock Con, the conference for socks",impulsive,Would this statment be described as impulsive?,Yes.,No.
"Sock Con, the conference for socks",patronizing,Would this statment be described as patronizing?,Yes.,No.
"Sock Con, the conference for socks",pessimistic,Would this statment be described as pessimistic?,Yes.,No.
"Sock Con, the conference for socks",sullen,Would this statment be described as sullen?,Yes.,No.
"Sock Con, the conference for socks",stubborn,Would this statment be described as stubborn?,Yes.,No.
"Sock Con, the conference for socks",egotistical,Would this statment be described as egotistical?,Yes.,No.
"Sock Con, the conference for socks",rude,Would this statment be described as rude?,Yes.,No.
"Sock Con, the conference for socks",mean,Would this statment be described as mean?,Yes.,No.
"Sock Con, the conference for socks",secretive,Would this statment be described as secretive?,Yes.,No.
"Sock Con, the conference for socks",bossy,Would this statment be described as bossy?,Yes.,No.
"Sock Con, the conference for socks",boastful,Would this statment be described as boastful?,Yes.,No.
"Sock Con, the conference for socks",irresponsible,Would this statment be described as irresponsible?,Yes.,No.
"Sock Con, the conference for socks",lazy,Would this statment be described as lazy?,Yes.,No.
"Sock Con, the conference for socks",selfish,Would this statment be described as selfish?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,creative,Would this statment be described as creative?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,adventurous,Would this statment be described as adventurous?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,generous,Would this statment be described as generous?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,decisive,Would this statment be described as decisive?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,diplomatic,Would this statment be described as diplomatic?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,affectionate,Would this statment be described as affectionate?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,hardworking,Would this statment be described as hardworking?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,observant,Would this statment be described as observant?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,helpful,Would this statment be described as helpful?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,optimistic,Would this statment be described as optimistic?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,honest,Would this statment be described as honest?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,funny,Would this statment be described as funny?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,amusing,Would this statment be described as amusing?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,calm,Would this statment be described as calm?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,polite,Would this statment be described as polite?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,charismatic,Would this statment be described as charismatic?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,romantic,Would this statment be described as romantic?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,friendly,Would this statment be described as friendly?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,clever,Would this statment be described as clever?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,compassionate,Would this statment be described as compassionate?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,aggressive,Would this statment be described as aggressive?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,cynical,Would this statment be described as cynical?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,grumpy,Would this statment be described as grumpy?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,nervous,Would this statment be described as nervous?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,defensive,Would this statment be described as defensive?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,arrogant,Would this statment be described as arrogant?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,impulsive,Would this statment be described as impulsive?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,patronizing,Would this statment be described as patronizing?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,pessimistic,Would this statment be described as pessimistic?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,sullen,Would this statment be described as sullen?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,stubborn,Would this statment be described as stubborn?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,egotistical,Would this statment be described as egotistical?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,rude,Would this statment be described as rude?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,mean,Would this statment be described as mean?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,secretive,Would this statment be described as secretive?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,bossy,Would this statment be described as bossy?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,boastful,Would this statment be described as boastful?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,irresponsible,Would this statment be described as irresponsible?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,lazy,Would this statment be described as lazy?,Yes.,No.
Always something new for the magazine cover and the articles practically write themselves,selfish,Would this statment be described as selfish?,Yes.,No.
@user This guy gets it,creative,Would this statment be described as creative?,Yes.,No.
@user This guy gets it,adventurous,Would this statment be described as adventurous?,Yes.,No.
@user This guy gets it,generous,Would this statment be described as generous?,Yes.,No.
@user This guy gets it,decisive,Would this statment be described as decisive?,Yes.,No.
@user This guy gets it,diplomatic,Would this statment be described as diplomatic?,Yes.,No.
@user This guy gets it,affectionate,Would this statment be described as affectionate?,Yes.,No.
@user This guy gets it,hardworking,Would this statment be described as hardworking?,Yes.,No.
@user This guy gets it,observant,Would this statment be described as observant?,Yes.,No.
@user This guy gets it,helpful,Would this statment be described as helpful?,Yes.,No.
@user This guy gets it,optimistic,Would this statment be described as optimistic?,Yes.,No.
@user This guy gets it,honest,Would this statment be described as honest?,Yes.,No.
@user This guy gets it,funny,Would this statment be described as funny?,Yes.,No.
@user This guy gets it,amusing,Would this statment be described as amusing?,Yes.,No.
@user This guy gets it,calm,Would this statment be described as calm?,Yes.,No.
@user This guy gets it,polite,Would this statment be described as polite?,Yes.,No.
@user This guy gets it,charismatic,Would this statment be described as charismatic?,Yes.,No.
@user This guy gets it,romantic,Would this statment be described as romantic?,Yes.,No.
@user This guy gets it,friendly,Would this statment be described as friendly?,Yes.,No.
@user This guy gets it,clever,Would this statment be described as clever?,Yes.,No.
@user This guy gets it,compassionate,Would this statment be described as compassionate?,Yes.,No.
@user This guy gets it,aggressive,Would this statment be described as aggressive?,Yes.,No.
@user This guy gets it,cynical,Would this statment be described as cynical?,Yes.,No.
@user This guy gets it,grumpy,Would this statment be described as grumpy?,Yes.,No.
@user This guy gets it,nervous,Would this statment be described as nervous?,Yes.,No.
@user This guy gets it,defensive,Would this statment be described as defensive?,Yes.,No.
@user This guy gets it,arrogant,Would this statment be described as arrogant?,Yes.,No.
@user This guy gets it,impulsive,Would this statment be described as impulsive?,Yes.,No.
@user This guy gets it,patronizing,Would this statment be described as patronizing?,Yes.,No.
@user This guy gets it,pessimistic,Would this statment be described as pessimistic?,Yes.,No.
@user This guy gets it,sullen,Would this statment be described as sullen?,Yes.,No.
@user This guy gets it,stubborn,Would this statment be described as stubborn?,Yes.,No.
@user This guy gets it,egotistical,Would this statment be described as egotistical?,Yes.,No.
@user This guy gets it,rude,Would this statment be described as rude?,Yes.,No.
@user This guy gets it,mean,Would this statment be described as mean?,Yes.,No.
@user This guy gets it,secretive,Would this statment be described as secretive?,Yes.,No.
@user This guy gets it,bossy,Would this statment be described as bossy?,Yes.,No.
@user This guy gets it,boastful,Would this statment be described as boastful?,Yes.,No.
@user This guy gets it,irresponsible,Would this statment be described as irresponsible?,Yes.,No.
@user This guy gets it,lazy,Would this statment be described as lazy?,Yes.,No.
@user This guy gets it,selfish,Would this statment be described as selfish?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,creative,Would this statment be described as creative?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,adventurous,Would this statment be described as adventurous?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,generous,Would this statment be described as generous?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,decisive,Would this statment be described as decisive?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,diplomatic,Would this statment be described as diplomatic?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,affectionate,Would this statment be described as affectionate?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,hardworking,Would this statment be described as hardworking?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,observant,Would this statment be described as observant?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,helpful,Would this statment be described as helpful?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,optimistic,Would this statment be described as optimistic?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,honest,Would this statment be described as honest?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,funny,Would this statment be described as funny?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,amusing,Would this statment be described as amusing?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,calm,Would this statment be described as calm?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,polite,Would this statment be described as polite?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,charismatic,Would this statment be described as charismatic?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,romantic,Would this statment be described as romantic?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,friendly,Would this statment be described as friendly?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,clever,Would this statment be described as clever?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,compassionate,Would this statment be described as compassionate?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,aggressive,Would this statment be described as aggressive?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,cynical,Would this statment be described as cynical?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,grumpy,Would this statment be described as grumpy?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,nervous,Would this statment be described as nervous?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,defensive,Would this statment be described as defensive?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,arrogant,Would this statment be described as arrogant?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,impulsive,Would this statment be described as impulsive?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,patronizing,Would this statment be described as patronizing?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,pessimistic,Would this statment be described as pessimistic?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,sullen,Would this statment be described as sullen?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,stubborn,Would this statment be described as stubborn?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,egotistical,Would this statment be described as egotistical?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,rude,Would this statment be described as rude?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,mean,Would this statment be described as mean?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,secretive,Would this statment be described as secretive?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,bossy,Would this statment be described as bossy?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,boastful,Would this statment be described as boastful?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,irresponsible,Would this statment be described as irresponsible?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,lazy,Would this statment be described as lazy?,Yes.,No.
Sock tech is so advanced that you can get pretty much anything in sock form these days!,selfish,Would this statment be described as selfish?,Yes.,No.
I must confess to a penchant for creative socks,creative,Would this statment be described as creative?,Yes.,No.
I must confess to a penchant for creative socks,adventurous,Would this statment be described as adventurous?,Yes.,No.
I must confess to a penchant for creative socks,generous,Would this statment be described as generous?,Yes.,No.
I must confess to a penchant for creative socks,decisive,Would this statment be described as decisive?,Yes.,No.
I must confess to a penchant for creative socks,diplomatic,Would this statment be described as diplomatic?,Yes.,No.
I must confess to a penchant for creative socks,affectionate,Would this statment be described as affectionate?,Yes.,No.
I must confess to a penchant for creative socks,hardworking,Would this statment be described as hardworking?,Yes.,No.
I must confess to a penchant for creative socks,observant,Would this statment be described as observant?,Yes.,No.
I must confess to a penchant for creative socks,helpful,Would this statment be described as helpful?,Yes.,No.
I must confess to a penchant for creative socks,optimistic,Would this statment be described as optimistic?,Yes.,No.
I must confess to a penchant for creative socks,honest,Would this statment be described as honest?,Yes.,No.
I must confess to a penchant for creative socks,funny,Would this statment be described as funny?,Yes.,No.
I must confess to a penchant for creative socks,amusing,Would this statment be described as amusing?,Yes.,No.
I must confess to a penchant for creative socks,calm,Would this statment be described as calm?,Yes.,No.
I must confess to a penchant for creative socks,polite,Would this statment be described as polite?,Yes.,No.
I must confess to a penchant for creative socks,charismatic,Would this statment be described as charismatic?,Yes.,No.
I must confess to a penchant for creative socks,romantic,Would this statment be described as romantic?,Yes.,No.
I must confess to a penchant for creative socks,friendly,Would this statment be described as friendly?,Yes.,No.
I must confess to a penchant for creative socks,clever,Would this statment be described as clever?,Yes.,No.
I must confess to a penchant for creative socks,compassionate,Would this statment be described as compassionate?,Yes.,No.
I must confess to a penchant for creative socks,aggressive,Would this statment be described as aggressive?,Yes.,No.
I must confess to a penchant for creative socks,cynical,Would this statment be described as cynical?,Yes.,No.
I must confess to a penchant for creative socks,grumpy,Would this statment be described as grumpy?,Yes.,No.
I must confess to a penchant for creative socks,nervous,Would this statment be described as nervous?,Yes.,No.
I must confess to a penchant for creative socks,defensive,Would this statment be described as defensive?,Yes.,No.
I must confess to a penchant for creative socks,arrogant,Would this statment be described as arrogant?,Yes.,No.
I must confess to a penchant for creative socks,impulsive,Would this statment be described as impulsive?,Yes.,No.
I must confess to a penchant for creative socks,patronizing,Would this statment be described as patronizing?,Yes.,No.
I must confess to a penchant for creative socks,pessimistic,Would this statment be described as pessimistic?,Yes.,No.
I must confess to a penchant for creative socks,sullen,Would this statment be described as sullen?,Yes.,No.
I must confess to a penchant for creative socks,stubborn,Would this statment be described as stubborn?,Yes.,No.
I must confess to a penchant for creative socks,egotistical,Would this statment be described as egotistical?,Yes.,No.
I must confess to a penchant for creative socks,rude,Would this statment be described as rude?,Yes.,No.
I must confess to a penchant for creative socks,mean,Would this statment be described as mean?,Yes.,No.
I must confess to a penchant for creative socks,secretive,Would this statment be described as secretive?,Yes.,No.
I must confess to a penchant for creative socks,bossy,Would this statment be described as bossy?,Yes.,No.
I must confess to a penchant for creative socks,boastful,Would this statment be described as boastful?,Yes.,No.
I must confess to a penchant for creative socks,irresponsible,Would this statment be described as irresponsible?,Yes.,No.
I must confess to a penchant for creative socks,lazy,Would this statment be described as lazy?,Yes.,No.
I must confess to a penchant for creative socks,selfish,Would this statment be described as selfish?,Yes.,No.
@user It’s time,creative,Would this statment be described as creative?,Yes.,No.
@user It’s time,adventurous,Would this statment be described as adventurous?,Yes.,No.
@user It’s time,generous,Would this statment be described as generous?,Yes.,No.
@user It’s time,decisive,Would this statment be described as decisive?,Yes.,No.
@user It’s time,diplomatic,Would this statment be described as diplomatic?,Yes.,No.
@user It’s time,affectionate,Would this statment be described as affectionate?,Yes.,No.
@user It’s time,hardworking,Would this statment be described as hardworking?,Yes.,No.
@user It’s time,observant,Would this statment be described as observant?,Yes.,No.
@user It’s time,helpful,Would this statment be described as helpful?,Yes.,No.
@user It’s time,optimistic,Would this statment be described as optimistic?,Yes.,No.
@user It’s time,honest,Would this statment be described as honest?,Yes.,No.
@user It’s time,funny,Would this statment be described as funny?,Yes.,No.
@user It’s time,amusing,Would this statment be described as amusing?,Yes.,No.
@user It’s time,calm,Would this statment be described as calm?,Yes.,No.
@user It’s time,polite,Would this statment be described as polite?,Yes.,No.
@user It’s time,charismatic,Would this statment be described as charismatic?,Yes.,No.
@user It’s time,romantic,Would this statment be described as romantic?,Yes.,No.
@user It’s time,friendly,Would this statment be described as friendly?,Yes.,No.
@user It’s time,clever,Would this statment be described as clever?,Yes.,No.
@user It’s time,compassionate,Would this statment be described as compassionate?,Yes.,No.
@user It’s time,aggressive,Would this statment be described as aggressive?,Yes.,No.
@user It’s time,cynical,Would this statment be described as cynical?,Yes.,No.
@user It’s time,grumpy,Would this statment be described as grumpy?,Yes.,No.
@user It’s time,nervous,Would this statment be described as nervous?,Yes.,No.
@user It’s time,defensive,Would this statment be described as defensive?,Yes.,No.
@user It’s time,arrogant,Would this statment be described as arrogant?,Yes.,No.
@user It’s time,impulsive,Would this statment be described as impulsive?,Yes.,No.
@user It’s time,patronizing,Would this statment be described as patronizing?,Yes.,No.
@user It’s time,pessimistic,Would this statment be described as pessimistic?,Yes.,No.
@user It’s time,sullen,Would this statment be described as sullen?,Yes.,No.
@user It’s time,stubborn,Would this statment be described as stubborn?,Yes.,No.
@user It’s time,egotistical,Would this statment be described as egotistical?,Yes.,No.
@user It’s time,rude,Would this statment be described as rude?,Yes.,No.
@user It’s time,mean,Would this statment be described as mean?,Yes.,No.
@user It’s time,secretive,Would this statment be described as secretive?,Yes.,No.
@user It’s time,bossy,Would this statment be described as bossy?,Yes.,No.
@user It’s time,boastful,Would this statment be described as boastful?,Yes.,No.
@user It’s time,irresponsible,Would this statment be described as irresponsible?,Yes.,No.
@user It’s time,lazy,Would this statment be described as lazy?,Yes.,No.
@user It’s time,selfish,Would this statment be described as selfish?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",creative,Would this statment be described as creative?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",adventurous,Would this statment be described as adventurous?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",generous,Would this statment be described as generous?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",decisive,Would this statment be described as decisive?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",diplomatic,Would this statment be described as diplomatic?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",affectionate,Would this statment be described as affectionate?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",hardworking,Would this statment be described as hardworking?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",observant,Would this statment be described as observant?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",helpful,Would this statment be described as helpful?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",optimistic,Would this statment be described as optimistic?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",honest,Would this statment be described as honest?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",funny,Would this statment be described as funny?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",amusing,Would this statment be described as amusing?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",calm,Would this statment be described as calm?,Yes.,No.
"@user @user His success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",polite,Would this statment be described as polite?,Yes.,No.
