tweet_text,tweet_id,retweets,favorites,date,adj,fav_to_follower_ratio,retweet_to_follower_ratio,question,answer_a,answer_b
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,amusing,-9.101142914967003,-11.843205046547629,How can this statement be described?,amusing,not amusing
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,calm,-9.101142914967003,-11.843205046547629,How can this statement be described?,calm,not calm
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,polite,-9.101142914967003,-11.843205046547629,How can this statement be described?,polite,not polite
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,charismatic,-9.101142914967003,-11.843205046547629,How can this statement be described?,charismatic,not charismatic
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,romantic,-9.101142914967003,-11.843205046547629,How can this statement be described?,romantic,not romantic
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,friendly,-9.101142914967003,-11.843205046547629,How can this statement be described?,friendly,not friendly
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,clever,-9.101142914967003,-11.843205046547629,How can this statement be described?,clever,not clever
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,compassionate,-9.101142914967003,-11.843205046547629,How can this statement be described?,compassionate,not compassionate
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,aggressive,-9.101142914967003,-11.843205046547629,How can this statement be described?,aggressive,not aggressive
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,cynical,-9.101142914967003,-11.843205046547629,How can this statement be described?,cynical,not cynical
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,grumpy,-9.101142914967003,-11.843205046547629,How can this statement be described?,grumpy,not grumpy
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,nervous,-9.101142914967003,-11.843205046547629,How can this statement be described?,nervous,not nervous
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,defensive,-9.101142914967003,-11.843205046547629,How can this statement be described?,defensive,not defensive
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,arrogant,-9.101142914967003,-11.843205046547629,How can this statement be described?,arrogant,not arrogant
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,impulsive,-9.101142914967003,-11.843205046547629,How can this statement be described?,impulsive,not impulsive
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,patronizing,-9.101142914967003,-11.843205046547629,How can this statement be described?,patronizing,not patronizing
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,pessimistic,-9.101142914967003,-11.843205046547629,How can this statement be described?,pessimistic,not pessimistic
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,sullen,-9.101142914967003,-11.843205046547629,How can this statement be described?,sullen,not sullen
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,stubborn,-9.101142914967003,-11.843205046547629,How can this statement be described?,stubborn,not stubborn
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,egotistical,-9.101142914967003,-11.843205046547629,How can this statement be described?,egotistical,not egotistical
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,rude,-9.101142914967003,-11.843205046547629,How can this statement be described?,rude,not rude
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,mean,-9.101142914967003,-11.843205046547629,How can this statement be described?,mean,not mean
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,secretive,-9.101142914967003,-11.843205046547629,How can this statement be described?,secretive,not secretive
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,bossy,-9.101142914967003,-11.843205046547629,How can this statement be described?,bossy,not bossy
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,sarcastic,-9.101142914967003,-11.843205046547629,How can this statement be described?,sarcastic,not sarcastic
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,irresponsible,-9.101142914967003,-11.843205046547629,How can this statement be described?,irresponsible,not irresponsible
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,lazy,-9.101142914967003,-11.843205046547629,How can this statement be described?,lazy,not lazy
@user Supercharger centers with solar &amp; batteries are the long-term vision,1569449256892891137,765,11872,2022-09-12,selfish,-9.101142914967003,-11.843205046547629,How can this statement be described?,selfish,not selfish
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,creative,-6.368761465243496,-8.891158058901045,How can this statement be described?,creative,not creative
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,adventurous,-6.368761465243496,-8.891158058901045,How can this statement be described?,adventurous,not adventurous
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,generous,-6.368761465243496,-8.891158058901045,How can this statement be described?,generous,not generous
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,decisive,-6.368761465243496,-8.891158058901045,How can this statement be described?,decisive,not decisive
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,diplomatic,-6.368761465243496,-8.891158058901045,How can this statement be described?,diplomatic,not diplomatic
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,affectionate,-6.368761465243496,-8.891158058901045,How can this statement be described?,affectionate,not affectionate
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,hardworking,-6.368761465243496,-8.891158058901045,How can this statement be described?,hardworking,not hardworking
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,observant,-6.368761465243496,-8.891158058901045,How can this statement be described?,observant,not observant
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,helpful,-6.368761465243496,-8.891158058901045,How can this statement be described?,helpful,not helpful
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,optimistic,-6.368761465243496,-8.891158058901045,How can this statement be described?,optimistic,not optimistic
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,honest,-6.368761465243496,-8.891158058901045,How can this statement be described?,honest,not honest
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,funny,-6.368761465243496,-8.891158058901045,How can this statement be described?,funny,not funny
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,amusing,-6.368761465243496,-8.891158058901045,How can this statement be described?,amusing,not amusing
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,calm,-6.368761465243496,-8.891158058901045,How can this statement be described?,calm,not calm
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,polite,-6.368761465243496,-8.891158058901045,How can this statement be described?,polite,not polite
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,charismatic,-6.368761465243496,-8.891158058901045,How can this statement be described?,charismatic,not charismatic
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,romantic,-6.368761465243496,-8.891158058901045,How can this statement be described?,romantic,not romantic
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,friendly,-6.368761465243496,-8.891158058901045,How can this statement be described?,friendly,not friendly
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,clever,-6.368761465243496,-8.891158058901045,How can this statement be described?,clever,not clever
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,compassionate,-6.368761465243496,-8.891158058901045,How can this statement be described?,compassionate,not compassionate
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,aggressive,-6.368761465243496,-8.891158058901045,How can this statement be described?,aggressive,not aggressive
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,cynical,-6.368761465243496,-8.891158058901045,How can this statement be described?,cynical,not cynical
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,grumpy,-6.368761465243496,-8.891158058901045,How can this statement be described?,grumpy,not grumpy
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,nervous,-6.368761465243496,-8.891158058901045,How can this statement be described?,nervous,not nervous
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,defensive,-6.368761465243496,-8.891158058901045,How can this statement be described?,defensive,not defensive
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,arrogant,-6.368761465243496,-8.891158058901045,How can this statement be described?,arrogant,not arrogant
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,impulsive,-6.368761465243496,-8.891158058901045,How can this statement be described?,impulsive,not impulsive
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,patronizing,-6.368761465243496,-8.891158058901045,How can this statement be described?,patronizing,not patronizing
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,pessimistic,-6.368761465243496,-8.891158058901045,How can this statement be described?,pessimistic,not pessimistic
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,sullen,-6.368761465243496,-8.891158058901045,How can this statement be described?,sullen,not sullen
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,stubborn,-6.368761465243496,-8.891158058901045,How can this statement be described?,stubborn,not stubborn
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,egotistical,-6.368761465243496,-8.891158058901045,How can this statement be described?,egotistical,not egotistical
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,rude,-6.368761465243496,-8.891158058901045,How can this statement be described?,rude,not rude
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,mean,-6.368761465243496,-8.891158058901045,How can this statement be described?,mean,not mean
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,secretive,-6.368761465243496,-8.891158058901045,How can this statement be described?,secretive,not secretive
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,bossy,-6.368761465243496,-8.891158058901045,How can this statement be described?,bossy,not bossy
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,sarcastic,-6.368761465243496,-8.891158058901045,How can this statement be described?,sarcastic,not sarcastic
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,irresponsible,-6.368761465243496,-8.891158058901045,How can this statement be described?,irresponsible,not irresponsible
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,lazy,-6.368761465243496,-8.891158058901045,How can this statement be described?,lazy,not lazy
Won’t be long before we view gasoline cars the same way we view steam engines today,1569417348179759107,14646,182466,2022-09-12,selfish,-6.368761465243496,-8.891158058901045,How can this statement be described?,selfish,not selfish
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,creative,-9.475591074592325,-12.645350151356121,How can this statement be described?,creative,not creative
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,adventurous,-9.475591074592325,-12.645350151356121,How can this statement be described?,adventurous,not adventurous
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,generous,-9.475591074592325,-12.645350151356121,How can this statement be described?,generous,not generous
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,decisive,-9.475591074592325,-12.645350151356121,How can this statement be described?,decisive,not decisive
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,diplomatic,-9.475591074592325,-12.645350151356121,How can this statement be described?,diplomatic,not diplomatic
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,affectionate,-9.475591074592325,-12.645350151356121,How can this statement be described?,affectionate,not affectionate
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,hardworking,-9.475591074592325,-12.645350151356121,How can this statement be described?,hardworking,not hardworking
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,observant,-9.475591074592325,-12.645350151356121,How can this statement be described?,observant,not observant
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,helpful,-9.475591074592325,-12.645350151356121,How can this statement be described?,helpful,not helpful
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,optimistic,-9.475591074592325,-12.645350151356121,How can this statement be described?,optimistic,not optimistic
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,honest,-9.475591074592325,-12.645350151356121,How can this statement be described?,honest,not honest
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,funny,-9.475591074592325,-12.645350151356121,How can this statement be described?,funny,not funny
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,amusing,-9.475591074592325,-12.645350151356121,How can this statement be described?,amusing,not amusing
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,calm,-9.475591074592325,-12.645350151356121,How can this statement be described?,calm,not calm
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,polite,-9.475591074592325,-12.645350151356121,How can this statement be described?,polite,not polite
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,charismatic,-9.475591074592325,-12.645350151356121,How can this statement be described?,charismatic,not charismatic
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,romantic,-9.475591074592325,-12.645350151356121,How can this statement be described?,romantic,not romantic
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,friendly,-9.475591074592325,-12.645350151356121,How can this statement be described?,friendly,not friendly
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,clever,-9.475591074592325,-12.645350151356121,How can this statement be described?,clever,not clever
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,compassionate,-9.475591074592325,-12.645350151356121,How can this statement be described?,compassionate,not compassionate
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,aggressive,-9.475591074592325,-12.645350151356121,How can this statement be described?,aggressive,not aggressive
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,cynical,-9.475591074592325,-12.645350151356121,How can this statement be described?,cynical,not cynical
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,grumpy,-9.475591074592325,-12.645350151356121,How can this statement be described?,grumpy,not grumpy
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,nervous,-9.475591074592325,-12.645350151356121,How can this statement be described?,nervous,not nervous
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,defensive,-9.475591074592325,-12.645350151356121,How can this statement be described?,defensive,not defensive
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,arrogant,-9.475591074592325,-12.645350151356121,How can this statement be described?,arrogant,not arrogant
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,impulsive,-9.475591074592325,-12.645350151356121,How can this statement be described?,impulsive,not impulsive
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,patronizing,-9.475591074592325,-12.645350151356121,How can this statement be described?,patronizing,not patronizing
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,pessimistic,-9.475591074592325,-12.645350151356121,How can this statement be described?,pessimistic,not pessimistic
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,sullen,-9.475591074592325,-12.645350151356121,How can this statement be described?,sullen,not sullen
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,stubborn,-9.475591074592325,-12.645350151356121,How can this statement be described?,stubborn,not stubborn
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,egotistical,-9.475591074592325,-12.645350151356121,How can this statement be described?,egotistical,not egotistical
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,rude,-9.475591074592325,-12.645350151356121,How can this statement be described?,rude,not rude
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,mean,-9.475591074592325,-12.645350151356121,How can this statement be described?,mean,not mean
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,secretive,-9.475591074592325,-12.645350151356121,How can this statement be described?,secretive,not secretive
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,bossy,-9.475591074592325,-12.645350151356121,How can this statement be described?,bossy,not bossy
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,sarcastic,-9.475591074592325,-12.645350151356121,How can this statement be described?,sarcastic,not sarcastic
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,irresponsible,-9.475591074592325,-12.645350151356121,How can this statement be described?,irresponsible,not irresponsible
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,lazy,-9.475591074592325,-12.645350151356121,How can this statement be described?,lazy,not lazy
@user @user Socrates can be a little boring tbh,1569411918011449345,343,8164,2022-09-12,selfish,-9.475591074592325,-12.645350151356121,How can this statement be described?,selfish,not selfish
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,creative,-8.426099725028823,-10.792337434980189,How can this statement be described?,creative,not creative
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,adventurous,-8.426099725028823,-10.792337434980189,How can this statement be described?,adventurous,not adventurous
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,generous,-8.426099725028823,-10.792337434980189,How can this statement be described?,generous,not generous
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,decisive,-8.426099725028823,-10.792337434980189,How can this statement be described?,decisive,not decisive
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,diplomatic,-8.426099725028823,-10.792337434980189,How can this statement be described?,diplomatic,not diplomatic
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,affectionate,-8.426099725028823,-10.792337434980189,How can this statement be described?,affectionate,not affectionate
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,hardworking,-8.426099725028823,-10.792337434980189,How can this statement be described?,hardworking,not hardworking
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,observant,-8.426099725028823,-10.792337434980189,How can this statement be described?,observant,not observant
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,helpful,-8.426099725028823,-10.792337434980189,How can this statement be described?,helpful,not helpful
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,optimistic,-8.426099725028823,-10.792337434980189,How can this statement be described?,optimistic,not optimistic
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,honest,-8.426099725028823,-10.792337434980189,How can this statement be described?,honest,not honest
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,funny,-8.426099725028823,-10.792337434980189,How can this statement be described?,funny,not funny
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,amusing,-8.426099725028823,-10.792337434980189,How can this statement be described?,amusing,not amusing
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,calm,-8.426099725028823,-10.792337434980189,How can this statement be described?,calm,not calm
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,polite,-8.426099725028823,-10.792337434980189,How can this statement be described?,polite,not polite
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,charismatic,-8.426099725028823,-10.792337434980189,How can this statement be described?,charismatic,not charismatic
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,romantic,-8.426099725028823,-10.792337434980189,How can this statement be described?,romantic,not romantic
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,friendly,-8.426099725028823,-10.792337434980189,How can this statement be described?,friendly,not friendly
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,clever,-8.426099725028823,-10.792337434980189,How can this statement be described?,clever,not clever
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,compassionate,-8.426099725028823,-10.792337434980189,How can this statement be described?,compassionate,not compassionate
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,aggressive,-8.426099725028823,-10.792337434980189,How can this statement be described?,aggressive,not aggressive
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,cynical,-8.426099725028823,-10.792337434980189,How can this statement be described?,cynical,not cynical
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,grumpy,-8.426099725028823,-10.792337434980189,How can this statement be described?,grumpy,not grumpy
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,nervous,-8.426099725028823,-10.792337434980189,How can this statement be described?,nervous,not nervous
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,defensive,-8.426099725028823,-10.792337434980189,How can this statement be described?,defensive,not defensive
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,arrogant,-8.426099725028823,-10.792337434980189,How can this statement be described?,arrogant,not arrogant
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,impulsive,-8.426099725028823,-10.792337434980189,How can this statement be described?,impulsive,not impulsive
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,patronizing,-8.426099725028823,-10.792337434980189,How can this statement be described?,patronizing,not patronizing
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,pessimistic,-8.426099725028823,-10.792337434980189,How can this statement be described?,pessimistic,not pessimistic
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,sullen,-8.426099725028823,-10.792337434980189,How can this statement be described?,sullen,not sullen
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,stubborn,-8.426099725028823,-10.792337434980189,How can this statement be described?,stubborn,not stubborn
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,egotistical,-8.426099725028823,-10.792337434980189,How can this statement be described?,egotistical,not egotistical
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,rude,-8.426099725028823,-10.792337434980189,How can this statement be described?,rude,not rude
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,mean,-8.426099725028823,-10.792337434980189,How can this statement be described?,mean,not mean
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,secretive,-8.426099725028823,-10.792337434980189,How can this statement be described?,secretive,not secretive
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,bossy,-8.426099725028823,-10.792337434980189,How can this statement be described?,bossy,not bossy
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,sarcastic,-8.426099725028823,-10.792337434980189,How can this statement be described?,sarcastic,not sarcastic
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,irresponsible,-8.426099725028823,-10.792337434980189,How can this statement be described?,irresponsible,not irresponsible
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,lazy,-8.426099725028823,-10.792337434980189,How can this statement be described?,lazy,not lazy
"@user Our view of reality is always wrong, just a question of how wrong",1569381543184941060,2188,23318,2022-09-12,selfish,-8.426099725028823,-10.792337434980189,How can this statement be described?,selfish,not selfish
"Salted butter is amazing, but should be stored at room temperature http",1569953613073764352,7694,128457,2022-09-14,creative,-6.721184524022828,-9.536337937676576,How can this statement be described?,creative,not creative
"Salted butter is amazing, but should be stored at room temperature http",1569953613073764352,7694,128457,2022-09-14,adventurous,-6.721184524022828,-9.536337937676576,How can this statement be described?,adventurous,not adventurous
"Salted butter is amazing, but should be stored at room temperature http",1569953613073764352,7694,128457,2022-09-14,generous,-6.721184524022828,-9.536337937676576,How can this statement be described?,generous,not generous
